Iterasi Checkpoint,Rata-rata Skor,Skor Tertinggi,Skor Terendah
20000,0.2,1,0
30000,0.0,0,0
40000,0.0,0,0
50000,0.0,0,0
60000,0.0,0,0
70000,0.0,0,0
80000,5.8,11,2
90000,9.6,32,0
100000,39.0,123,4
110000,30.4,55,13
120000,77.4,255,0
130000,56.6,125,1
140000,104.4,288,9
150000,154.4,249,34
160000,73.6,91,56
170000,159.6,295,87
180000,150.2,435,21
190000,72.0,147,10
200000,79.2,137,39
210000,21.8,43,3
220000,90.6,339,6
230000,19.6,29,12
240000,102.4,166,50
250000,158.6,325,40
260000,211.6,429,72
270000,106.8,317,5
280000,63.6,184,16
290000,17.6,27,4
300000,21.4,55,7
310000,24.4,44,3
320000,50.0,87,1
330000,131.8,477,7
340000,188.8,299,111
350000,228.0,477,43
360000,111.8,267,24
370000,264.4,999,24
380000,10.2,19,1
390000,159.4,528,6
400000,501.6,999,58
410000,70.4,129,31
420000,215.6,307,45
430000,16.6,35,5
440000,69.6,151,30
450000,25.0,46,3
460000,63.0,249,3
470000,40.6,117,4
480000,36.2,84,14
490000,213.4,307,121
500000,57.6,117,4
510000,133.2,275,10
520000,21.6,42,9
530000,54.0,136,10
540000,21.4,66,2
550000,32.6,56,24
560000,15.2,26,9
570000,81.8,225,1
580000,23.2,43,3
590000,90.6,313,16
600000,55.4,161,8
610000,93.0,155,14
620000,14.6,43,2
630000,21.4,45,5
640000,76.2,188,15
650000,3.6,14,0
660000,310.4,725,37
670000,45.6,182,6
680000,104.0,287,0
690000,132.0,382,16
700000,276.8,605,61
710000,114.0,261,17
720000,31.0,46,7
730000,58.2,170,16
740000,205.0,395,83
750000,100.2,207,30
760000,13.2,20,6
770000,58.8,96,18
780000,24.6,77,7
790000,24.2,59,4
800000,34.6,64,2
810000,161.0,331,15
820000,66.4,144,32
830000,314.4,999,19
840000,24.0,99,2
850000,64.0,149,25
860000,32.8,67,6
870000,224.0,786,1
880000,11.8,19,0
890000,119.8,251,16
900000,47.4,85,10
910000,25.0,80,1
920000,206.8,363,40
930000,83.4,283,14
940000,86.2,220,2
950000,71.0,167,23
960000,67.8,154,12
970000,75.6,183,6
980000,15.2,39,0
990000,52.2,115,9
1000000,79.4,170,2
